,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
3498,"Askari 5 - Sector J, Askari 5",3.0,3.0,306
1577,other,4.0,5.0,120
4388,"Federal B Area - Block 9, Federal B Area",3.0,3.0,139
12110,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2.0,2.0,150
2127,"Bahria Town - Precinct 6, Bahria Town Karachi",5.0,6.0,272
18555,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",4.0,4.0,300
16585,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
16017,other,5.0,5.0,120
16844,"Federal B Area - Block 21, Federal B Area",3.0,3.0,89
557,"Naya Nazimabad - Block D, Naya Nazimabad",4.0,5.0,160
13661,"Civil Lines, Karachi",3.0,3.0,289
14109,"Chapal Courtyard, Karachi",2.0,2.0,106
1385,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
7445,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,350
98,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
8855,other,3.0,3.0,178
16421,"Clifton - Block 4, Clifton",2.0,2.0,122
7528,"Gulshan-e-Maymar, Gadap Town",4.0,2.0,106
16918,"DHA Phase 6, DHA Defence",5.0,5.0,300
3522,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",3.0,3.0,167
5963,other,5.0,6.0,240
17556,"Fatima Golf Residency, Gulistan-e-Jauhar",3.0,3.0,189
2373,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
3305,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,5.0,267
14385,"DHA Phase 6, DHA Defence",7.0,6.0,500
4925,"PECHS Block 6, PECHS",3.0,3.0,211
16207,"DHA Phase 6, DHA Defence",6.0,7.0,800
570,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
12970,"Bath Island, Karachi",3.0,4.0,222
3848,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3.0,3.0,180
184,"DHA Phase 8, DHA Defence",4.0,5.0,120
2391,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
9905,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
3809,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",5.0,5.0,240
930,"HMR Waterfront, DHA Phase 8",1.0,2.0,113
15233,"Falcon Complex New Malir, Malir",4.0,4.0,350
2194,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
11049,other,3.0,3.0,240
15828,"North Nazimabad - Block N, North Nazimabad",3.0,3.0,233
5164,"DHA Phase 6, DHA Defence",4.0,5.0,333
7351,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
16277,other,4.0,3.0,60
1925,other,6.0,5.0,80
3378,"DHA Phase 6, DHA Defence",8.0,8.0,500
9026,"DHA Phase 5, DHA Defence",3.0,3.0,267
10463,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,122
2657,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
212,"North Nazimabad - Block F, North Nazimabad",5.0,6.0,500
5188,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
9155,"DHA Phase 5, DHA Defence",5.0,5.0,500
9340,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",4.0,4.0,100
6999,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",3.0,3.0,167
1327,"DHA Phase 6, DHA Defence",3.0,3.0,183
5410,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,183
12876,"Shahra-e-Faisal, Karachi",3.0,3.0,196
2006,"Civil Lines, Karachi",4.0,5.0,311
14207,"Karachi Administration Employees Society, Jamshed Town",4.0,4.0,200
8724,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
12093,"DHA Phase 8, DHA Defence",5.0,5.0,500
1308,"North Nazimabad - Block J, North Nazimabad",4.0,4.0,325
16925,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",8.0,8.0,400
9730,"Saima Arabian Villas, Gadap Town",2.0,2.0,120
6538,"Shamsi Society, Shah Faisal Town",2.0,2.0,70
13824,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",3.0,3.0,139
5454,"Falcon Complex New Malir, Malir",4.0,4.0,350
10379,"Rahat Commercial Area, DHA Phase 6",2.0,2.0,106
12557,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16461,"Navy Housing Scheme Karsaz, Karachi",5.0,7.0,400
3357,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,250
9607,"Bahria Sports City, Bahria Town Karachi",3.0,3.0,350
7122,"Saima Elite Villas, Malir",3.0,3.0,120
5580,"Shahmir Residency, University Road",4.0,4.0,120
14580,"Gulshan-e-Iqbal Town, Karachi",4.0,4.0,120
3247,"Model Colony - Malir, Malir",4.0,6.0,131
2009,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",3.0,3.0,170
17620,"DHA Phase 4, DHA Defence",6.0,6.0,300
5080,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",6.0,6.0,240
8629,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
9498,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
657,"Clifton - Block 4, Clifton",3.0,3.0,178
8848,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",2.0,2.0,100
16235,"Diamond City, Gulshan-e-Maymar",2.0,3.0,150
10269,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
15700,other,5.0,5.0,250
369,"North Nazimabad - Block A, North Nazimabad",6.0,6.0,200
1356,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
10354,"Civil Lines, Karachi",3.0,3.0,139
1336,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,125
3448,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
2978,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
9638,"Askari 5, Malir Cantonment",3.0,3.0,286
11496,other,4.0,4.0,219
5349,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
1649,"Saima Arabian Villas, Gadap Town",2.0,2.0,106
7729,"Gulshan-e-Iqbal Town, Karachi",3.0,3.0,240
19004,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",6.0,6.0,300
17825,"Muslim Commercial Area, DHA Phase 6",2.0,2.0,50
11872,"Sharfabad, Gulshan-e-Iqbal Town",2.0,2.0,122
5632,"DHA Phase 6, DHA Defence",4.0,4.0,300
509,"DHA Phase 6, DHA Defence",5.0,5.0,500
1285,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",1.0,1.0,63
10589,"Khalid Bin Walid Road, Karachi",2.0,2.0,122
8790,"Frere Town, Karachi",2.0,2.0,122
13534,"DHA Phase 2, DHA Defence",9.0,6.0,609
16282,"University Road, Karachi",6.0,6.0,240
2403,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16414,"Askari 5 - Sector J, Askari 5",3.0,3.0,289
12866,"P & T Colony, Karachi",3.0,2.0,100
13122,"Frere Town, Karachi",4.0,4.0,289
16354,"Askari 5, Malir Cantonment",3.0,3.0,286
18064,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",3.0,3.0,144
2164,other,2.0,2.0,99
14307,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
3344,"Bahria Town - Precinct 9, Bahria Town Karachi",5.0,5.0,500
12715,"DHA Phase 6, DHA Defence",3.0,4.0,333
11585,"Model Colony - Malir, Malir",4.0,4.0,120
12086,"Tariq Road, Karachi",3.0,3.0,144
8987,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
7294,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",4.0,5.0,222
3802,"Bahadurabad, Gulshan-e-Iqbal Town",2.0,2.0,120
16507,"DHA Phase 6, DHA Defence",5.0,5.0,600
7571,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
1144,"Askari 5, Malir Cantonment",3.0,3.0,289
17890,"Airport, Karachi",4.0,4.0,120
15042,"North Karachi, Karachi",2.0,2.0,76
18840,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",2.0,2.0,122
18415,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",6.0,6.0,400
4875,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,4.0,300
6798,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
4513,"DHA Phase 8, DHA Defence",6.0,6.0,500
7290,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",5.0,5.0,400
2199,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
10502,"Bahadurabad, Gulshan-e-Iqbal Town",2.0,2.0,111
3814,"City Tower And Shopping Mall, University Road",2.0,2.0,150
16157,"Bahria Town Karachi, Karachi",4.0,4.0,250
14697,"Bahria Town - Precinct 20, Bahria Town Karachi",5.0,6.0,500
3935,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",6.0,6.0,400
4933,"Quetta Town - Sector 18-A, Scheme 33 - Sector 18-A",2.0,2.0,125
8984,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
13418,"DHA Phase 1, DHA Defence",3.0,4.0,267
18572,"PECHS Block 2, PECHS",3.0,3.0,167
10618,"Sehar Commercial Area, DHA Phase 7",2.0,2.0,100
6352,"PECHS Block 2, PECHS",3.0,3.0,189
16351,"Badar Commercial Area, DHA Phase 5",6.0,7.0,500
15387,"North Nazimabad - Block H, North Nazimabad",3.0,3.0,156
7979,"DHA Phase 2 Extension, DHA Defence",2.0,2.0,111
9642,"Askari 5, Malir Cantonment",3.0,3.0,286
11190,"DHA Phase 8, DHA Defence",6.0,6.0,500
18953,other,6.0,5.0,300
4121,"Clifton - Block 4, Clifton",4.0,5.0,250
12647,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
18756,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,200
12643,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",3.0,3.0,75
7942,"DHA Phase 6, DHA Defence",6.0,6.0,500
12451,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
17554,"Falaknaz Presidency, Malir",4.0,4.0,125
5613,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3.0,3.0,152
17647,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,167
18746,other,6.0,6.0,80
17581,"PECHS Block 6, PECHS",3.0,3.0,161
7405,"North Nazimabad - Block B, North Nazimabad",3.0,4.0,267
15417,"Falcon Complex New Malir, Malir",5.0,5.0,500
13693,other,2.0,2.0,120
17196,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",4.0,5.0,120
1448,"DHA Phase 8 - Zone B, DHA Phase 8",6.0,7.0,500
8187,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,400
14433,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
10364,"North Nazimabad - Block M, North Nazimabad",2.0,2.0,89
10476,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,125
4958,"Badar Commercial Area, DHA Phase 5",2.0,2.0,128
17582,"Fatima Golf Residency, Gulistan-e-Jauhar",3.0,3.0,189
5356,other,3.0,3.0,150
10149,"Emaar Coral Towers, Emaar Crescent Bay",3.0,4.0,283
5760,"Nazimabad 3, Nazimabad",2.0,2.0,78
4516,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
6325,"Federal B Area - Block 12, Federal B Area",5.0,5.0,200
4163,"Clifton - Block 2, Clifton",3.0,3.0,200
8477,"Bahria Town Karachi, Karachi",3.0,3.0,45
10600,"DHA Phase 8, DHA Defence",6.0,6.0,500
2851,"DHA Phase 6, DHA Defence",2.0,3.0,100
5486,"Saadi Town, Scheme 33",6.0,6.0,240
11460,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,156
5849,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,78
14606,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",3.0,3.0,167
6331,"Federal B Area - Block 6, Federal B Area",6.0,6.0,400
14980,"Gulshan-e-Maymar - Sector W, Gulshan-e-Maymar",4.0,4.0,400
13189,"Bath Island, Karachi",3.0,3.0,200
1015,"City Tower And Shopping Mall, University Road",3.0,3.0,206
12069,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
3030,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
12947,"Bath Island, Karachi",3.0,3.0,222
16479,other,6.0,6.0,240
15164,"Falcon Complex New Malir, Malir",3.0,3.0,500
14000,"DHA Phase 7, DHA Defence",3.0,3.0,167
16633,other,4.0,5.0,389
6783,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,160
17125,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
5033,"Sehar Commercial Area, DHA Phase 7",4.0,4.0,183
18197,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",7.0,5.0,240
2337,"DHA Phase 5, DHA Defence",3.0,3.0,201
14534,"Amir Khusro, Karachi",4.0,4.0,189
17627,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",2.0,2.0,100
2702,"Bahria Town - Precinct 6, Bahria Town Karachi",3.0,4.0,144
1133,"Sadat-e-Amroha Coop Housing Society, Scheme 33",2.0,2.0,79
7207,"KDA Scheme 1, Karachi",6.0,6.0,600
5401,other,2.0,2.0,87
754,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
12023,"Shaheed Millat Road, Karachi",2.0,2.0,106
9299,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,125
13253,"North Nazimabad, Karachi",2.0,2.0,200
1843,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,108
13711,other,6.0,9.0,120
17279,"Nazimabad 3, Nazimabad",3.0,3.0,156
4261,"Gulshan-e-Maymar - Sector Z, Gulshan-e-Maymar",6.0,6.0,200
1946,"Askari 5 - Sector J, Askari 5",4.0,4.0,345
17755,"Shamsi Society, Shah Faisal Town",3.0,3.0,200
11116,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4.0,5.0,120
2200,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
1891,"Emaar Crescent Bay, DHA Phase 8",3.0,5.0,333
948,"DHA Phase 5, DHA Defence",2.0,2.0,56
10496,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
13611,"Clifton - Block 5, Clifton",6.0,6.0,250
3240,"North Nazimabad - Block L, North Nazimabad",2.0,2.0,111
5377,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",4.0,4.0,222
15602,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
4856,"DHA Phase 8, DHA Defence",4.0,5.0,120
16984,"Navy Housing Scheme Karsaz - Phase 1, Navy Housing Scheme Karsaz",5.0,5.0,350
2211,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
5399,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
6341,"Amir Khusro, Karachi",5.0,5.0,311
17122,"North Nazimabad - Block L, North Nazimabad",3.0,3.0,150
18097,other,2.0,2.0,70
3866,"Bahria Town Karachi, Karachi",1.0,1.0,61
59,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",3.0,3.0,178
13203,"DHA Phase 5, DHA Defence",3.0,3.0,200
19048,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",2.0,2.0,70
19364,"Ittehad Commercial Area, DHA Phase 6",2.0,2.0,111
9852,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
4026,"Diamond Residency, Defence View Phase 2",2.0,2.0,80
9936,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
10237,"DHA Phase 4, DHA Defence",6.0,6.0,300
3995,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,178
11652,other,6.0,6.0,500
9371,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,200
4653,"Askari 5, Malir Cantonment",4.0,5.0,333
16445,other,4.0,4.0,300
16814,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
15466,"Bahria Town Karachi, Karachi",2.0,2.0,130
14375,"Nazimabad 1, Nazimabad",4.0,4.0,200
2872,"Bahria Town Karachi, Karachi",4.0,4.0,60
2523,"Navy Housing Scheme Karsaz - Phase 1, Navy Housing Scheme Karsaz",5.0,6.0,350
12237,"Bahria Town Karachi, Karachi",2.0,2.0,122
10297,"Gwalior Cooperative Housing Society, Scheme 33",2.0,2.0,100
5517,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
582,"DHA Phase 8, DHA Defence",3.0,4.0,100
6814,"PECHS Block 2, PECHS",2.0,2.0,111
17138,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,156
3025,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2710,"Emaar Reef Towers, Emaar Crescent Bay",3.0,4.0,272
15980,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
18166,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",8.0,6.0,300
15895,"Sea View Apartments, Karachi",3.0,4.0,300
16981,"Frere Town, Karachi",3.0,3.0,278
2100,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
11429,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",3.0,3.0,240
6297,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
7755,"KDA Scheme 1, Karachi",5.0,4.0,600
5299,"Askari 5, Malir Cantonment",4.0,4.0,333
4380,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",3.0,3.0,200
14692,other,5.0,6.0,250
11972,"Bahria Town - Precinct 19, Bahria Town Karachi",3.0,3.0,250
16473,"Emaar Coral Towers, Emaar Crescent Bay",2.0,3.0,186
19084,"Clifton - Block 2, Clifton",4.0,5.0,356
11129,"Gohar Green City, Karachi",3.0,3.0,120
1235,"Askari 5 - Sector J, Askari 5",4.0,5.0,333
2601,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
10406,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
14206,"Mehmoodabad, Karachi",3.0,2.0,100
9139,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
13719,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",1.0,1.0,42
7433,other,3.0,3.0,125
15060,"Saima Elite Villas, Malir",3.0,3.0,240
18184,"Gulistan-e-Jauhar, Karachi",9.0,6.0,400
11084,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",3.0,3.0,161
2408,other,4.0,4.0,120
5929,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",3.0,3.0,200
4963,"Mohammad Ali Society, Gulshan-e-Iqbal Town",2.0,2.0,122
7457,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",5.0,3.0,189
2346,"Askari 5 - Sector J, Askari 5",3.0,4.0,289
747,"Bahria Town - Precinct 19, Bahria Town Karachi",3.0,4.0,244
4005,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,183
13569,"Bahria Town - Precinct 6, Bahria Town Karachi",2.0,2.0,117
8845,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
12718,"DHA Phase 6, DHA Defence",5.0,5.0,500
7896,"DHA Phase 2 Extension, DHA Defence",4.0,4.0,200
14543,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,172
19353,"DHA Phase 8 - Zone A, DHA Phase 8",9.0,6.0,600
716,"Bahria Town - Precinct 1, Bahria Town Karachi",4.0,4.0,272
5409,other,3.0,3.0,117
15763,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
14417,"KDA Officers Society, Gulshan-e-Iqbal Town",6.0,6.0,500
7367,"Civil Lines, Karachi",3.0,4.0,222
9433,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
16860,"Gohar Green City, Karachi",2.0,2.0,59
8065,"Shahmir Residency, University Road",4.0,4.0,120
13135,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",3.0,3.0,167
15765,"Naya Nazimabad - Block C, Naya Nazimabad",2.0,2.0,120
6154,"Federal B Area - Block 2, Federal B Area",2.0,2.0,70
11621,"DHA Phase 8, DHA Defence",4.0,5.0,100
10086,"Clifton - Block 2, Clifton",4.0,4.0,222
844,"Askari 5, Malir Cantonment",3.0,3.0,286
14165,"Bahria Town Karachi, Karachi",4.0,4.0,125
3343,"Shadman Town - Sector-14/B, Shadman",6.0,6.0,120
1886,"Bahria Town Karachi, Karachi",2.0,2.0,108
433,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
545,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
15706,other,6.0,7.0,500
4090,"SMCHS - Sindhi Muslim Society, Jamshed Town",4.0,5.0,244
5592,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
9721,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
8320,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
12597,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
2239,"North Nazimabad - Block F, North Nazimabad",2.0,2.0,133
1637,"Badar Commercial Area, DHA Phase 5",3.0,4.0,161
7764,other,6.0,6.0,200
14198,"Falcon Complex New Malir, Malir",5.0,5.0,500
8504,"Falcon Complex New Malir, Malir",5.0,5.0,500
13368,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
9147,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
18126,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",3.0,3.0,400
9974,"Creek Vista, DHA Phase 8",4.0,4.0,417
15668,"Bahria Town - Precinct 1, Bahria Town Karachi",5.0,5.0,250
4634,"Shahra-e-Faisal, Karachi",4.0,3.0,233
14265,"Allahwala Town - Sector 31-G, Allahwala Town",2.0,1.0,50
10327,"DHA Phase 7 Extension, DHA Defence",4.0,4.0,120
18162,"Bahria Heights, Bahria Town Karachi",2.0,3.0,122
18724,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",6.0,6.0,240
13722,other,4.0,3.0,120
4486,"Falaknaz Dreams, Malir",2.0,1.0,33
8808,"Emaar Crescent Bay, DHA Phase 8",3.0,5.0,272
1271,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
2550,"Askari 5 - Sector J, Askari 5",3.0,3.0,306
1660,"Bahria Town Karachi, Karachi",2.0,2.0,111
3087,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
18738,"Civil Lines, Karachi",2.0,3.0,133
14427,"Tulip Tower, Saadi Road",3.0,3.0,211
12952,"Frere Town, Karachi",2.0,2.0,133
13623,"Saima Luxury Homes, Karachi",2.0,2.0,120
12005,"Shaheed Millat Road, Karachi",3.0,3.0,183
8414,"Clifton - Block 8, Clifton",4.0,4.0,250
15782,"University Road, Karachi",3.0,3.0,144
3928,"Scheme 33, Karachi",6.0,6.0,120
4326,"Nazimabad, Karachi",2.0,2.0,61
11225,"Bahria Town - Precinct 20, Bahria Town Karachi",5.0,5.0,500
12652,"DHA Phase 6, DHA Defence",5.0,5.0,500
15656,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
15655,"Bahria Town - Precinct 35, Bahria Sports City",4.0,4.0,350
11744,"DHA Phase 6, DHA Defence",5.0,6.0,666
8927,"North Nazimabad - Block A, North Nazimabad",3.0,3.0,200
14799,"Nazimabad 3, Nazimabad",2.0,2.0,100
4855,"Civil Lines, Karachi",4.0,4.0,222
18653,"Malir Cantonment, Cantt",5.0,5.0,375
17796,"Gulistan-e-Jauhar, Karachi",2.0,2.0,78
516,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
7630,"Federal B Area, Karachi",2.0,2.0,110
12651,"Clifton - Block 1, Clifton",7.0,7.0,200
18626,"DHA Phase 5, DHA Defence",2.0,2.0,61
18329,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4.0,5.0,80
1209,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",4.0,5.0,120
4840,"Bath Island, Karachi",4.0,5.0,250
9434,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
7689,"Federal B Area - Block 10, Federal B Area",3.0,3.0,400
14997,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
14114,"Falcon Complex New Malir, Malir",5.0,5.0,500
7034,"PECHS, Jamshed Town",3.0,3.0,167
13021,"Bath Island, Karachi",4.0,4.0,289
11589,"Model Colony - Malir, Malir",3.0,3.0,200
4187,"North Nazimabad - Block I, North Nazimabad",4.0,4.0,400
16689,"DHA Phase 6, DHA Defence",6.0,6.0,500
4716,"Karachi Administration Employees Society, Jamshed Town",3.0,3.0,133
6013,"DHA Phase 6, DHA Defence",6.0,6.0,500
13291,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,180
2903,"Askari 5 - Sector J, Askari 5",5.0,6.0,375
10203,"Saima Luxury Homes, Karachi",2.0,2.0,120
3675,"Chapal Courtyard, Karachi",2.0,2.0,117
18903,"DHA Phase 8 - Zone B, DHA Phase 8",3.0,4.0,300
10594,"PECHS, Jamshed Town",2.0,2.0,100
11074,"DHA Phase 4, DHA Defence",6.0,6.0,300
5032,other,3.0,3.0,144
7369,"Clifton - Block 2, Clifton",4.0,5.0,272
221,"North Karachi - Sector 11A, North Karachi",1.0,1.0,44
19079,"PECHS Block 6, PECHS",3.0,3.0,189
5910,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",2.0,2.0,139
17096,"DHA Phase 6, DHA Defence",6.0,6.0,500
5048,"Falaknaz Presidency, Malir",2.0,2.0,128
4382,"Federal B Area - Block 9, Federal B Area",4.0,5.0,170
18118,"Saadi Town, Scheme 33",5.0,6.0,120
18274,"Federal B Area - Block 2, Federal B Area",2.0,2.0,70
5991,"Model Colony - Malir, Malir",4.0,3.0,100
17738,"Civil Lines, Karachi",3.0,3.0,178
5190,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
10619,"DHA Phase 1, DHA Defence",3.0,3.0,256
13979,"Hill Park, Karachi",5.0,5.0,180
10078,"Shaheed Millat Road, Karachi",3.0,4.0,244
18480,"Clifton - Block 2, Clifton",4.0,5.0,311
527,other,2.0,2.0,255
6461,other,4.0,6.0,120
3184,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16884,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
10184,"DHA Phase 6, DHA Defence",6.0,6.0,500
14025,"Muslim Commercial Area, DHA Phase 6",2.0,2.0,56
6445,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3.0,3.0,128
18223,other,2.0,2.0,60
13689,"Allahwala Town - Sector 31-B, Allahwala Town",2.0,1.0,50
18128,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",3.0,3.0,156
18218,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,2.0,106
5596,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
1963,"Emaar Pearl Towers, Emaar Crescent Bay",4.0,6.0,294
